date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,600036,164.76,168.08,169.02,164.72,826245,3191180656.0,2.64,3.12,5.08,0.4
2020-01-03,600036,168.36,170.11,170.98,168.24,520106,2045230272.0,1.63,1.21,2.03,0.25
2020-01-06,600036,169.29,169.49,173.09,168.16,548877,2171575504.0,2.9,-0.36,-0.62,0.27
2020-01-07,600036,170.7,169.14,172.23,168.94,347671,1369304768.0,1.94,-0.21,-0.35,0.17
2020-01-08,600036,168.36,166.24,168.36,166.24,363234,1403861104.0,1.25,-1.71,-2.9,0.18
2020-01-09,600036,167.93,168.16,168.55,166.91,303360,1177003664.0,0.99,1.15,1.92,0.15
2020-01-10,600036,168.16,168.71,169.65,167.57,285931,1116903168.0,1.24,0.33,0.55,0.14
2020-01-13,600036,169.65,168.94,169.65,167.57,327809,1279073024.0,1.23,0.14,0.23,0.16
2020-01-14,600036,169.1,167.81,171.01,167.38,335646,1314430608.0,2.15,-0.67,-1.13,0.16
2020-01-15,600036,167.93,165.11,168.12,164.72,488599,1870048768.0,2.03,-1.61,-2.7,0.24
2020-01-16,600036,165.5,164.48,166.01,163.7,453848,1723277984.0,1.4,-0.38,-0.63,0.22
2020-01-17,600036,164.88,164.37,165.31,163.39,421357,1595789856.0,1.17,-0.07,-0.11,0.2
2020-01-20,600036,165.5,165.85,167.18,164.64,585809,2244268944.0,1.55,0.9,1.48,0.28
2020-01-21,600036,164.45,163.82,165.23,163.47,417202,1580332560.0,1.06,-1.22,-2.03,0.2
2020-01-22,600036,163.47,163.94,165.03,161.32,531255,2000618544.0,2.26,0.07,0.12,0.26
2020-01-23,600036,162.8,159.99,163.47,158.58,787503,2912304576.0,2.98,-2.41,-3.95,0.38
2020-02-03,600036,148.22,153.03,154.86,148.22,1131062,3944795008.0,4.15,-4.35,-6.96,0.55
2020-02-04,600036,153.07,154.28,154.79,151.66,1229677,4313054464.0,2.05,0.82,1.25,0.6
2020-02-05,600036,154.24,154.32,154.9,152.25,802572,2826862592.0,1.72,0.03,0.04,0.39
2020-02-06,600036,154.86,155.84,156.16,153.42,730702,2589474704.0,1.78,0.98,1.52,0.35
2020-02-07,600036,153.3,154.55,154.71,152.95,675525,2374190016.0,1.13,-0.83,-1.29,0.33
2020-02-10,600036,153.42,153.3,153.85,152.71,575042,2016401936.0,0.74,-0.81,-1.25,0.28
2020-02-11,600036,154.08,155.14,156.23,153.5,557436,1983770032.0,1.78,1.2,1.84,0.27
2020-02-12,600036,154.86,155.26,155.49,153.85,405390,1437178000.0,1.06,0.08,0.12,0.2
2020-02-13,600036,154.98,153.97,155.06,153.69,422351,1493775792.0,0.88,-0.83,-1.29,0.2
2020-02-14,600036,153.73,155.41,155.69,153.73,403397,1431806480.0,1.27,0.94,1.44,0.2
2020-02-17,600036,155.37,157.48,157.48,154.4,669425,2396661840.0,1.98,1.33,2.07,0.32
2020-02-18,600036,156.82,155.65,156.82,155.26,516397,1846260240.0,0.99,-1.16,-1.83,0.25
2020-02-19,600036,155.26,154.98,156.39,154.71,419521,1496142160.0,1.08,-0.43,-0.67,0.2
2020-02-20,600036,155.49,156.74,157.02,153.69,746006,2658121248.0,2.15,1.14,1.76,0.36
2020-02-21,600036,156.43,155.41,156.55,154.75,730315,2603112496.0,1.15,-0.85,-1.33,0.35
2020-02-24,600036,154.83,153.11,155.61,153.03,798565,2812039824.0,1.66,-1.48,-2.3,0.39
2020-02-25,600036,152.17,151.46,153.22,150.95,873734,3032212320.0,1.48,-1.08,-1.65,0.42
2020-02-26,600036,150.6,152.25,152.87,149.98,779705,2707591824.0,1.91,0.52,0.79,0.38
2020-02-27,600036,152.09,153.77,154.28,151.74,689379,2422074080.0,1.67,1.0,1.52,0.33
2020-02-28,600036,152.32,149.78,153.61,149.78,835341,2885398352.0,2.49,-2.59,-3.99,0.4
2020-03-02,600036,149.94,151.93,152.44,149.39,704291,2438029168.0,2.04,1.44,2.15,0.34
2020-03-03,600036,152.64,151.42,153.3,150.64,686073,2380418304.0,1.75,-0.34,-0.51,0.33
2020-03-04,600036,151.66,152.05,152.13,150.72,560886,1941800192.0,0.93,0.42,0.63,0.27
2020-03-05,600036,152.87,157.72,158.07,152.13,1355413,4840609024.0,3.91,3.73,5.67,0.66
2020-03-06,600036,156.19,154.51,156.9,154.51,670674,2389764960.0,1.52,-2.04,-3.21,0.33
2020-03-09,600036,152.44,149.7,152.44,149.7,966592,3318066992.0,1.77,-3.11,-4.81,0.47
2020-03-10,600036,149.74,151.66,152.68,149.31,668298,2309858480.0,2.25,1.31,1.96,0.32
2020-03-11,600036,151.97,150.76,152.87,150.6,566551,1965764176.0,1.5,-0.59,-0.9,0.27
2020-03-12,600036,150.45,149.63,151.31,149.08,619180,2118258080.0,1.48,-0.75,-1.13,0.3
2020-03-13,600036,144.31,146.69,147.28,142.74,1140958,3748370240.0,3.03,-1.96,-2.94,0.55
2020-03-16,600036,146.61,139.89,146.61,139.77,1066027,3445337104.0,4.66,-4.64,-6.8,0.52
2020-03-17,600036,139.81,140.12,143.56,137.7,843441,2675433584.0,4.19,0.16,0.23,0.41
2020-03-18,600036,140.71,136.56,142.27,136.33,824317,2604923488.0,4.24,-2.54,-3.56,0.4
2020-03-19,600036,135.24,130.66,135.24,128.31,1559457,4591894272.0,5.07,-4.32,-5.9,0.76
2020-03-20,600036,132.58,137.43,137.7,132.58,1343153,4101898416.0,3.92,5.18,6.77,0.65
2020-03-23,600036,133.4,133.98,135.35,132.89,928971,2804113440.0,1.79,-2.51,-3.45,0.45
2020-03-24,600036,137.86,139.26,139.81,136.53,825359,2585549440.0,2.45,3.94,5.28,0.4
2020-03-25,600036,142.08,143.1,143.84,141.84,809527,2629580320.0,1.44,2.76,3.84,0.39
2020-03-26,600036,141.57,143.99,146.73,141.41,694636,2281461456.0,3.72,0.62,0.89,0.34
2020-03-27,600036,145.56,143.99,146.38,143.06,581775,1911127952.0,2.31,0.0,0.0,0.28
2020-03-30,600036,141.88,143.72,143.99,140.4,477494,1541068112.0,2.49,-0.19,-0.27,0.23
2020-03-31,600036,144.78,142.27,145.01,141.8,377540,1228383296.0,2.23,-1.01,-1.45,0.18
2020-04-01,600036,141.65,141.69,143.72,141.18,358143,1157345792.0,1.79,-0.41,-0.58,0.17
2020-04-02,600036,140.2,142.51,142.51,140.05,289601,929189680.0,1.74,0.58,0.82,0.14
2020-04-03,600036,141.18,141.77,142.43,141.14,251618,808697600.0,0.91,-0.52,-0.74,0.12
2020-04-07,600036,144.46,143.21,144.62,142.74,431844,1406732992.0,1.33,1.02,1.44,0.21
2020-04-08,600036,143.13,142.04,143.13,141.65,318134,1024956352.0,1.03,-0.82,-1.17,0.15
