date,open,high,low,close,volume
2020-01-02,2182.98,2206.44,2145.3,2184.24,306674
2020-01-03,2176.73,2184.08,2145.61,2160.31,204692
2020-01-06,2151.71,2155.62,2128.56,2139.2,259370
2020-01-07,2143.89,2168.44,2136.07,2141.86,223278
2020-01-08,2135.91,2147.95,2121.21,2134.35,161802
2020-01-09,2136.07,2170.47,2124.34,2163.75,255491
2020-01-10,2159.53,2215.04,2159.53,2208.32,429695
2020-01-13,2218.33,2308.09,2218.17,2302.77,496042
2020-01-14,2309.66,2318.73,2279.94,2285.57,199073
2020-01-15,2285.57,2352.03,2285.42,2320.6,234789
2020-01-16,2320.6,2339.37,2297.14,2318.41,145360
2020-01-17,2327.8,2336.24,2281.51,2285.42,148478
2020-01-20,2316.69,2318.41,2258.05,2269.93,167538
2020-01-21,2253.36,2253.36,2183.14,2192.68,293073
2020-01-22,2167.19,2193.46,2147.95,2178.29,257531
2020-01-23,2179.39,2179.39,2073.52,2091.66,415937
2020-02-03,1894.3,1894.3,1894.3,1894.3,167639
2020-02-04,1823.3,1995.32,1823.3,1909.31,710214
2020-02-05,1931.21,1992.2,1903.06,1956.39,388783
2020-02-06,1979.69,1994.39,1942.15,1982.03,306551
2020-02-07,1983.6,2009.87,1957.95,2004.4,280117
2020-02-10,1987.51,2031.76,1973.12,2013.0,221877
2020-02-11,2013.31,2081.34,2013.31,2070.23,245774
2020-02-12,2065.7,2077.43,2038.64,2065.54,175114
2020-02-13,2071.64,2099.48,2048.03,2060.07,178629
2020-02-14,2061.01,2087.28,2033.64,2048.96,169720
2020-02-17,2045.05,2062.57,2035.67,2062.57,238169
2020-02-18,2054.75,2062.57,2042.4,2048.34,128728
2020-02-19,2054.44,2107.61,2037.24,2089.15,316628
2020-02-20,2104.79,2160.78,2103.07,2154.05,334662
2020-02-21,2151.71,2170.47,2136.38,2151.71,207438
2020-02-24,2142.33,2142.33,2100.1,2106.36,235601
2020-02-25,2070.39,2104.79,2055.69,2078.21,240633
2020-02-26,2055.22,2095.72,2042.24,2059.44,214179
2020-02-27,2070.39,2116.52,2065.7,2093.85,235732
2020-02-28,2057.88,2058.35,1979.69,2004.71,366012
2020-03-02,1996.89,2051.62,1989.07,2036.77,269822
2020-03-03,2053.19,2087.28,2053.19,2063.66,230923
2020-03-04,2057.88,2088.06,2057.88,2077.74,197575
2020-03-05,2097.76,2228.02,2089.15,2201.75,565620
