date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,000001,2161.8,2189.3,2199.3,2149.29,1530232,2571196480.0,2.34,2.46,52.51,0.79
2020-01-03,000001,2198.05,2228.06,2244.31,2195.55,1116195,1914495472.0,2.23,1.77,38.76,0.58
2020-01-06,000001,2206.8,2214.31,2248.06,2194.3,862084,1477930192.0,2.41,-0.62,-13.75,0.44
2020-01-07,000001,2221.81,2224.31,2240.56,2199.3,728608,1247047136.0,1.86,0.45,10.0,0.38
2020-01-08,000001,2205.55,2163.05,2211.8,2159.3,847824,1423608816.0,2.36,-2.75,-61.26,0.44
2020-01-09,000001,2181.8,2179.3,2196.8,2146.79,1031637,1725326800.0,2.31,0.75,16.25,0.53
2020-01-10,000001,2179.3,2166.8,2181.8,2145.54,585548,975154816.0,1.66,-0.57,-12.5,0.3
2020-01-13,000001,2174.3,2204.3,2209.3,2156.8,872133,1468271680.0,2.42,1.73,37.5,0.45
2020-01-14,000001,2204.3,2175.55,2239.31,2175.55,1304494,2217608848.0,2.89,-1.3,-28.75,0.67
2020-01-15,000001,2179.3,2145.54,2188.05,2136.79,859439,1424889232.0,2.36,-1.38,-30.01,0.44
2020-01-16,000001,2145.54,2121.79,2151.79,2105.54,1028105,1678888512.0,2.16,-1.11,-23.75,0.53
2020-01-17,000001,2128.04,2129.29,2149.29,2124.29,605437,995909008.0,1.18,0.35,7.5,0.31
2020-01-20,000001,2134.29,2136.79,2156.8,2124.29,746075,1226464656.0,1.53,0.35,7.5,0.38
2020-01-21,000001,2123.04,2080.53,2123.04,2071.78,896603,1442171424.0,2.4,-2.63,-56.26,0.46
2020-01-22,000001,2070.53,2091.78,2100.54,2044.28,719465,1150933392.0,2.7,0.54,11.25,0.37
2020-01-23,000001,2070.53,2023.02,2070.53,2004.27,1100592,1723394336.0,3.17,-3.29,-68.76,0.57
2020-02-03,000001,1829.24,1829.24,1918.01,1829.24,2259195,3201454160.0,4.39,-9.58,-193.78,1.16
2020-02-04,000001,1836.74,1905.5,1913.0,1832.99,1706172,2442932848.0,4.37,4.17,76.26,0.88
2020-02-05,000001,1904.25,1909.25,1941.76,1870.5,1491380,2177632048.0,3.74,0.2,3.75,0.77
2020-02-06,000001,1931.76,1926.76,1939.26,1894.25,1185816,1740107632.0,2.36,0.92,17.51,0.61
2020-02-07,000001,1905.5,1908.0,1916.75,1881.75,924853,1345053248.0,1.82,-0.97,-18.76,0.48
2020-02-10,000001,1894.25,1893.0,1896.75,1868.0,1339495,1931983488.0,1.51,-0.79,-15.0,0.69
2020-02-11,000001,1905.5,1929.26,1948.01,1900.5,1407507,2077194144.0,2.51,1.92,36.26,0.73
2020-02-12,000001,1929.26,1926.76,1933.01,1905.5,1070503,1573229040.0,1.43,-0.13,-2.5,0.55
2020-02-13,000001,1919.26,1911.75,1940.51,1906.75,1013205,1491327712.0,1.75,-0.78,-15.01,0.52
2020-02-14,000001,1924.26,1959.26,1973.01,1918.01,1512435,2253906448.0,2.88,2.49,47.51,0.78
2020-02-17,000001,1960.51,2001.77,2001.77,1946.76,1543696,2337993584.0,2.81,2.17,42.51,0.8
2020-02-18,000001,1996.77,1980.52,1996.77,1956.76,973612,1478274224.0,2.0,-1.06,-21.25,0.5
2020-02-19,000001,1968.01,1985.52,2001.77,1965.51,874107,1333730224.0,1.83,0.25,5.0,0.45
2020-02-20,000001,1989.27,2029.27,2033.02,1968.01,1235444,1897923024.0,3.27,2.2,43.75,0.64
2020-02-21,000001,2016.77,2028.02,2045.53,2011.77,995071,1546692928.0,1.66,-0.06,-1.25,0.51
2020-02-24,000001,2013.02,1984.27,2013.02,1974.26,1191795,1820183856.0,1.91,-2.16,-43.75,0.61
2020-02-25,000001,1955.51,1960.51,1971.76,1928.01,1144575,1710369792.0,2.2,-1.2,-23.76,0.59
2020-02-26,000001,1926.76,1954.26,1989.27,1918.01,1176599,1769612240.0,3.63,-0.32,-6.25,0.61
2020-02-27,000001,1950.51,1969.26,1974.26,1941.76,975271,1464605744.0,1.66,0.77,15.0,0.5
2020-02-28,000001,1936.76,1893.0,1960.51,1888.0,1300644,1906892416.0,3.68,-3.87,-76.26,0.67
2020-03-02,000001,1899.25,1929.26,1949.26,1888.0,1116581,1647432272.0,3.24,1.92,36.26,0.58
2020-03-03,000001,1950.51,1920.51,1954.26,1909.25,1153584,1705816272.0,2.33,-0.45,-8.75,0.59
2020-03-04,000001,1915.5,1916.75,1928.01,1894.25,862595,1261123056.0,1.76,-0.2,-3.76,0.44
2020-03-05,000001,1930.51,2004.27,2035.52,1921.76,2686602,4089493520.0,5.94,4.57,87.52,1.38
2020-03-06,000001,1978.02,1959.26,1989.27,1958.01,1228531,1858691264.0,1.56,-2.25,-45.01,0.63
2020-03-09,000001,1919.26,1886.75,1921.76,1883.0,1665794,2420392128.0,1.98,-3.7,-72.51,0.86
2020-03-10,000001,1878.0,1925.51,1936.76,1878.0,1167865,1709084560.0,3.11,2.05,38.76,0.6
2020-03-11,000001,1926.76,1916.75,1940.51,1908.0,814382,1201250688.0,1.69,-0.45,-8.76,0.42
2020-03-12,000001,1911.75,1915.5,1935.51,1896.75,986497,1447436640.0,2.02,-0.07,-1.25,0.51
2020-03-13,000001,1817.99,1895.5,1903.0,1817.99,1169766,1669009840.0,4.44,-1.04,-20.0,0.6
2020-03-16,000001,1886.75,1799.23,1888.0,1799.23,1406202,1975824192.0,4.68,-5.08,-96.27,0.72
2020-03-17,000001,1799.23,1756.73,1826.74,1721.72,1177849,1582506080.0,5.84,-2.36,-42.5,0.61
2020-03-18,000001,1756.73,1669.21,1774.23,1661.71,1384784,1816836896.0,6.41,-4.98,-87.52,0.71
2020-03-19,000001,1665.46,1609.2,1672.96,1569.2,1891457,2313863664.0,6.22,-3.6,-60.01,0.97
2020-03-20,000001,1630.46,1645.46,1665.46,1612.95,1578353,1967487824.0,3.26,2.25,36.26,0.81
2020-03-23,000001,1580.45,1599.2,1624.21,1571.7,1071114,1300469488.0,3.19,-2.81,-46.26,0.55
2020-03-24,000001,1630.46,1656.71,1665.46,1614.2,1180200,1472909392.0,3.21,3.6,57.51,0.61
2020-03-25,000001,1690.47,1689.22,1714.22,1667.96,1136958,1467534960.0,2.79,1.96,32.51,0.59
2020-03-26,000001,1677.96,1712.97,1747.98,1670.46,1075192,1408651056.0,4.59,1.41,23.75,0.55
2020-03-27,000001,1736.72,1724.22,1752.98,1715.47,653019,861618656.0,2.19,0.66,11.25,0.34
2020-03-30,000001,1686.72,1697.97,1710.47,1675.46,661739,852956240.0,2.03,-1.52,-26.25,0.34
2020-03-31,000001,1711.72,1680.46,1716.72,1677.96,513370,662915472.0,2.28,-1.03,-17.51,0.26
2020-04-01,000001,1687.97,1691.72,1721.72,1682.97,520836,676070112.0,2.31,0.67,11.26,0.27
